time,energy
8.200100000009446E-13,4.428877325033262E-19
8.300100000009617E-13,4.443179737357017E-19
8.400100000009788E-13,4.455454300872331E-19
8.500100000009959E-13,4.465929179602285E-19
8.600100000010131E-13,4.47476981506743E-19
8.700100000010302E-13,4.482094077571059E-19
8.800100000010473E-13,4.487983460575571E-19
8.900100000010644E-13,4.492491590940817E-19
9.000100000010816E-13,4.49565086803326E-19
9.100100000010934E-13,4.497477737577585E-19
9.200100000010096E-13,4.497976894677248E-19
9.300100000009257E-13,4.497144565610356E-19
9.400100000008419E-13,4.494970926993905E-19
9.50010000000758E-13,4.491441679065174E-19
9.600100000006742E-13,4.486538795407555E-19
9.700100000005903E-13,4.480240523164394E-19
9.800100000005065E-13,4.472520802681452E-19
9.900100000004226E-13,4.463348414947267E-19
1.0000100000003388E-12,4.45268635610452E-19
1.010010000000255E-12,4.440492202831872E-19
1.020010000000171E-12,4.426720610489618E-19
1.0300100000000872E-12,4.411329634988238E-19
1.0400100000000034E-12,4.394293344417074E-19
1.0500099999999195E-12,4.375624178682698E-19
1.0600099999998357E-12,4.355409497461674E-19
1.0700099999997518E-12,4.333866955256395E-19
1.080009999999668E-12,4.3114208917250996E-19
1.0900099999995841E-12,4.288793370424507E-19
1.1000099999995003E-12,4.2670846259776087E-19
1.1100099999994164E-12,4.2477886698100935E-19
1.1200099999993326E-12,4.2326669750719476E-19
1.1300099999992487E-12,4.223427390681597E-19
1.1400099999991648E-12,4.22126400152739E-19
1.150009999999081E-12,4.2264611042882184E-19
1.1600099999989971E-12,4.238298008370609E-19
1.1700099999989133E-12,4.2553182653266583E-19
1.1800099999988294E-12,4.275791250156292E-19
1.1900099999987456E-12,4.2981214145076186E-19
1.2000099999986617E-12,4.321072038076792E-19
1.2100099999985779E-12,4.343812298385409E-19
1.220009999998494E-12,4.365861596707456E-19
1.2300099999984102E-12,4.386999677205973E-19
1.2400099999983263E-12,4.407181557231061E-19
1.2500099999982425E-12,4.426471584347496E-19
1.2600099999981586E-12,4.444997602956553E-19
1.2700099999980748E-12,4.462921184178467E-19
1.280009999997991E-12,4.480419013921345E-19
1.290009999997907E-12,4.497671190787184E-19
1.3000099999978232E-12,4.514853090019731E-19
1.3100099999977394E-12,4.532128127741085E-19
1.3200099999976555E-12,4.549639098569367E-19
1.3300099999975717E-12,4.567495800050179E-19
1.3400099999974878E-12,4.585756543396228E-19
1.350009999997404E-12,4.604401189847202E-19
1.3600099999973201E-12,4.623294161893454E-19
1.3700099999972363E-12,4.642138546327784E-19
1.3800099999971524E-12,4.660428419393401E-19
1.3900099999970686E-12,4.67741683973808E-19
1.4000099999969847E-12,4.692129349394758E-19
1.4100099999969009E-12,4.703457998875878E-19
1.420009999996817E-12,4.710352576556125E-19
1.4300099999967332E-12,4.712074432446181E-19
1.4400099999966493E-12,4.708417006575393E-19
1.4500099999965655E-12,4.699782838971101E-19
1.4600099999964816E-12,4.687074172059811E-19
1.4700099999963978E-12,4.671457708603812E-19
1.480009999996314E-12,4.654117156186564E-19
1.49000999999623E-12,4.636079775069961E-19
1.5000099999961462E-12,4.618139996976584E-19
1.5100099999960624E-12,4.600857526108442E-19
1.5200099999959785E-12,4.584594598786833E-19
1.5300099999958947E-12,4.569564709595819E-19
1.5400099999958108E-12,4.555877583923103E-19
1.550009999995727E-12,4.543574719833868E-19
1.560009999995643E-12,4.532655074923804E-19
1.5700099999955592E-12,4.523092615369188E-19
1.5800099999954754E-12,4.514847902256022E-19
1.5900099999953915E-12,4.507875631993509E-19
1.6000099999953077E-12,4.502129582298831E-19
1.6100099999952238E-12,4.497565964739264E-19
1.62000999999514E-12,4.494145823516656E-19
1.6300099999950561E-12,4.491836859054052E-19
1.6400099999949723E-12,4.490614881374119E-19
1.6500099999948884E-12,4.4904649935091E-19
1.6600099999948046E-12,4.491382550481319E-19
1.6700099999947207E-12,4.493373918307743E-19
1.6800099999946369E-12,4.496457055653988E-19
1.690009999994553E-12,4.5006619458869375E-19
1.7000099999944692E-12,4.506030907809986E-19
1.7100099999943853E-12,4.512618797204582E-19
1.7200099999943015E-12,4.520493063797217E-19
1.7300099999942176E-12,4.529733529023904E-19
1.7400099999941338E-12,4.540431569205745E-19
1.75000999999405E-12,4.5526880810505965E-19
1.760009999993966E-12,4.566609105440976E-19
1.7700099999938822E-12,4.582297200191166E-19
1.7800099999937984E-12,4.599835485390814E-19
1.7900099999937145E-12,4.6192597047806E-19
1.8000099999936307E-12,4.6405119114737E-19
1.8100099999935468E-12,4.663368569500483E-19
1.8200099999934836E-12,4.687338836315344E-19
1.8300099999936017E-12,4.711541304939266E-19
1.8400099999937198E-12,4.734597019525311E-19
1.850009999993838E-12,4.754622918409914E-19
1.860009999993956E-12,4.769442541116565E-19
1.870009999994074E-12,4.777075676628751E-19
1.880009999994192E-12,4.776373840179374E-19
1.8900099999943102E-12,4.767456229197191E-19
1.9000099999944283E-12,4.751645139542549E-19
1.9100099999945464E-12,4.730948072366072E-19
1.9200099999946645E-12,4.70743123762671E-19
